Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness
American IPA,7,"18,93","1,063","1,018","5,91","59,25","8,98","22,71",60,,70,
American IPA,7,"22,71","1,061","1,017","5,8","54,48","8,5","26,5",60,,70,
American Pale Ale,10,"24,61","1,055","1,013","5,58","40,12",8,"29,34",70,"1,047",79,
American IPA,7,25,"1,064","1,014","6,63","64,26","7,78",29,90,"1,055",74,
American IPA,7,"15,14","1,066","1,015","6,62",111,"14,26","11,36",90,,70,
American IPA,7,"20,82","1,073","1,019","7,07","69,72","6,28","28,39",60,,70,
American IPA,7,"18,93","1,066","1,017","6,51","60,96","10,54","11,36",60,"1,11",30,
American IPA,7,"37,85","1,064","1,017","6,2","64,67","3,91","34,07",60,"1,071",70,"1,2"
Saison,134,"20,82","1,073","1,015","7,63","44,94","6,25","28,39",60,"1,054",70,
American IPA,7,"20,82","1,073","1,018","7,14","61,83","8,1","24,61",60,"1,061",75,
American IPA,7,"21,77","1,062","1,013","6,5","53,3","5,2","28,39",60,"1,048",70,"1,25"
Saison,134,"18,93","1,082","1,013","9,1",0,"4,1","21,58",60,,72,
American IPA,7,21,"1,062","1,014","6,29","53,57","5,21",25,70,"1,052",73,
American Pale Ale,10,"18,93","1,067","1,017","6,6",0,"11,69","18,93",60,,75,
American IPA,7,"24,61","1,058","1,017","5,34","57,84","3,98","28,39",60,"1,05",83,
American IPA,7,"26,5","1,052","1,012","5,31","60,58","5,82","32,18",60,"1,043",70,"1,3"
American IPA,7,"18,93","1,074","1,018","7,24",0,"7,68","22,71",60,,75,
American IPA,7,"19,87","1,071","1,018","6,93","68,91","6,82","28,39",60,"1,05",72,"1,5"
American IPA,7,"20,82","1,065","1,018","6,26","89,61","6,93","28,39",60,"1,045",70,"1,32"
American Pale Ale,10,"20,82","1,049","1,009","5,24","40,86","3,79","26,5",60,,75,
American IPA,7,46,"13,9618","3,4853","5,65","37,62","4,96",55,90,"11,8",75,"3,3"
American Amber Ale,4,"18,93","1,075","1,009","7,5",0,"8,48","22,71",90,,70,
American IPA,7,"3,79","1,058","1,011","6,1","37,06","11,45","5,68",60,"1,039",55,"1,5"
American IPA,7,"19,87","1,064","1,015","6,47","56,62","8,23","29,34",60,"1,043",70,"1,35"
American IPA,7,21,"1,067","1,015","6,81","69,73","5,59",25,70,"1,053",73,
American IPA,7,"18,93","1,068","1,016","6,76",0,"6,81","18,93",60,,75,
American Amber Ale,4,"20,82","1,06","1,016","5,71","17,56","29,6","27,44",60,"1,045",75,
American IPA,7,"21,77","1,066","1,018","6,31","92,1","4,82","26,5",60,"1,054",75,"1,5"
American IPA,7,"18,93","1,062","1,016","6,13",66,"6,97","22,71",60,"1,052",51,
American IPA,7,"22,71","1,078","1,025","7,05","60,66","7,06","26,5",60,"1,061",70,
Saison,134,"20,82","1,072","1,013","7,66","31,43","6,24","26,5",60,"1,056",70,
American IPA,7,"22,71","1,062","1,012","6,51","121,43","4,26","26,5",60,"1,053",70,"1,5"
American IPA,7,42,"1,068","1,013","7,2","105,67","7,77",52,60,"1,055",68,2
American IPA,7,"41,64","1,072","1,014","7,52","87,48","7,3","49,21",90,"1,061",65,"1,3"
American IPA,7,"22,71","1,072","1,016","7,27",0,"9,3","28,39",60,,65,
American Pale Ale,10,5,"1,054","1,011","5,61","40,55","5,66",7,60,"1,038",72,
Saison,134,"3,79","1,056","1,012","5,73","26,51","9,94","4,73",60,,70,
American IPA,7,"24,61","1,058","1,015","5,73","42,52","5,6","28,39",60,"1,05",65,"1,5"
Saison,134,"18,93","1,055","1,014","5,43","16,73","2,84","15,14",60,"1,069",70,
American IPA,7,20,"1,059","1,01","6,45","32,49","6,76",25,60,"1,047",70,
American Amber Ale,4,"20,82","1,06","1,017","5,63","27,73","8,87","11,36",50,,30,
Saison,134,"18,93","1,062","1,007","7,2",0,13,"24,68",60,,72,
Saison,134,"45,42","1,051","1,012","5,19","32,59","5,63",53,60,"1,044",65,
American Pale Ale,10,"18,93","1,053","1,015","5,03","44,04","3,59","22,71",60,,72,
American IPA,7,"22,71","1,058","1,009","6,42","39,52","3,69","27,44",60,"1,048",78,"1,33"
American IPA,7,"20,82","1,066","1,018","6,24","68,07","11,58","26,5",60,"1,052",77,"1,25"
American IPA,7,40,"1,065","1,012","6,88","65,04","6,75",50,60,"1,052",70,
American IPA,7,"20,82","1,064","1,018","6,03","70,74","9,01","13,25",60,"1,1",70,
American Pale Ale,10,20,"1,055","1,014","5,46","35,01","8,06",25,60,,75,
American IPA,7,"18,93","1,056","1,013","5,57","43,02","10,33","11,36",60,,75,
American IPA,7,"20,82","1,066","1,015","6,7","76,06","7,32","27,94",60,"1,049",72,"1,3"
American Pale Ale,10,"18,93","1,052","1,01","5,55","45,2","8,14","21,77",60,"1,046",67,"1,5"
American IPA,7,"20,82","1,059","1,015","5,82","73,67","7,22","13,25",60,"1,093",70,
American IPA,7,"3,79","1,057","1,016","5,38","46,29","7,1","4,73",60,,70,
American Pale Ale,10,"10,6","1,054","1,013","5,32","51,73","4,65","14,38",60,"1,04",70,"1,5"
American IPA,7,"19,87","1,061","1,008","6,92","48,4","10,53","28,39",90,,60,
American IPA,7,"45,42","1,067","1,017","6,64","113,49","31,85","64,35",90,,70,
American IPA,7,"20,82","1,061","1,011","6,58","37,83","9,38","28,39",60,"1,045",75,"1,5"
American IPA,7,"20,82","1,067","1,014",7,"50,85","5,6","28,39",60,"1,049",75,
American Pale Ale,10,"37,85","1,049","1,01","5,06","33,49","8,76","41,64",60,"1,044",85,"1,25"
American Amber Ale,4,28,"1,055","1,012","5,82","44,62","18,72",28,30,"1,055",75,
American IPA,7,"4,73","1,069","1,015","7,11","30,11","5,04","7,57",45,"1,043",72,"1,3"
American Amber Ale,4,25,"1,065","1,015","6,61","65,02","16,19",29,90,"1,056",74,
American Pale Ale,10,30,"1,042","1,01","4,24","47,19","9,46",28,60,"1,045",81,
American Pale Ale,10,20,"1,053","1,011","5,59","38,44","5,57",24,60,"1,044",72,
American Pale Ale,10,"20,82","1,052","1,013","5,05","27,42","9,47","28,39",60,"1,038",75,"1,5"
American Pale Ale,10,"20,82","1,054","1,013","5,45","11,93","6,52","28,39",90,,70,
American Pale Ale,10,25,"1,056","1,013","5,59","28,57","11,36",28,60,,75,
Saison,134,21,"1,061","1,01","6,76","33,08","9,83",28,90,"1,039",75,"5,04"
American IPA,7,"45,42","1,065","1,015","6,6","35,44","8,47","56,78",90,"1,052",75,"1,5"
American IPA,7,"45,42","1,072","1,014","7,69","100,06","6,65","51,1",60,"1,064",75,"1,5"
American IPA,7,"19,87","1,058","1,017","5,42","43,43","4,3","24,61",60,"1,047",70,2
Saison,134,"41,64","1,05","1,01","5,27","31,51","3,37","56,78",90,,70,
American IPA,7,"22,71","1,074","1,018","7,34","56,49","6,21","26,5",60,"1,063",75,"1,5"
American IPA,7,"19,31","1,061","1,011","6,5","75,44","9,89","24,61",30,"1,048",35,
Saison,134,25,"1,06","1,008","6,77","24,46","5,28",30,90,"1,05",72,
American Pale Ale,10,23,"1,054","1,01","5,77","36,64","5,65",28,60,"1,044",78,3
American IPA,7,"22,71","1,07","1,016","6,99","67,84","6,96","30,28",75,"1,052",70,"1,25"
American IPA,7,21,"1,067","1,014","6,91","73,25","4,96",25,60,"1,056",73,
American IPA,7,"45,42","1,068","1,012","7,38","122,86","6,55","64,35",90,,70,
American IPA,7,"22,71","1,076","1,018","7,64","67,76","5,85","30,28",90,"1,057",75,"1,75"
American IPA,7,"20,82","1,066","1,013","6,98","125,78","6,75","26,5",90,"1,052",66,"1,3"
American Pale Ale,10,"21,77","1,057","1,017","5,29","57,28","8,4","26,5",60,"1,047",73,"2,96"
American Light Lager,9,"20,82","1,04","1,007","4,41","14,69","2,48","30,66",90,"1,027",80,"1,5"
American IPA,7,"18,93","1,071","1,013","7,54","79,63","14,8","26,5",60,"1,051",75,
American IPA,7,"19,68","1,045","1,011","4,48","61,29","8,31","11,36",60,,70,
American Pale Ale,10,21,"1,053","1,015","4,97","35,03","10,29",11,60,"1,1",35,
American Pale Ale,10,"41,64","1,054","1,011","5,57","69,49","5,39","60,57",90,,70,
American IPA,7,"22,71","1,079","1,018","7,98",0,"7,34","30,28",90,"1,059",75,"1,75"
American IPA,7,19,"1,064","1,016","6,32",0,"6,84",23,60,,64,
American Pale Ale,10,"18,93","1,065","1,018","6,12","38,79","3,99","22,71",60,,75,
American Pale Ale,10,"18,93","1,055","1,014","5,42","75,41","10,41","18,93",60,,70,
American Pale Ale,10,12,"1,049","1,011","5,03",31,"5,85",19,60,"1,031",65,
American Amber Ale,4,"22,71","1,066","1,016","6,63","49,61","17,09","32,18",60,"1,047",72,
American Amber Ale,4,"20,82","1,053","1,011","5,44","23,49","13,11","28,39",90,"1,039",70,
American IPA,7,"20,82","1,078","1,025","6,92","82,1","6,31","27,44",60,"1,059",80,"1,25"
American Pale Ale,10,"18,93","1,055","1,015","5,18","42,97","7,91","15,14",60,,70,
American IPA,7,"41,64","1,075","1,021","7,11","80,04","18,21",53,60,"1,059",63,
American Pale Ale,10,"20,82","1,059","1,015","5,75","39,79","4,98","28,39",60,,80,
American Pale Ale,10,"20,82","1,047","1,013","4,51","46,65","4,68","26,5",60,,75,
American IPA,7,"20,82","15,0428","3,75321","6,11","87,2","8,08","28,39",90,,68,
American Amber Ale,4,"20,82","1,047","1,009","5,01","29,82","12,26","28,39",90,,70,
American Pale Ale,10,"19,87","1,053","1,014","5,15","72,58","3,79","24,61",60,"1,043",70,"1,5"
American IPA,7,"20,82","1,063","1,011","6,91","71,93","6,81","26,5",75,"1,05",65,"1,33"
American Pale Ale,10,"15,14","1,053","1,012","5,41","43,31","10,47","17,03",40,"1,047",77,
American IPA,7,"22,71","1,061","1,021","5,36","44,14","8,48","28,47",60,,70,
American Pale Ale,10,"9,46","1,068","1,019","6,46","104,04","8,25","7,57",60,,70,
American Pale Ale,10,20,"1,053","1,016","4,83","32,14","4,19",25,60,,75,
American IPA,7,"20,82","1,067","1,021","6,07","109,29","8,3","26,5",90,,70,
American IPA,7,"20,82","1,073","1,018","7,13","104,69","5,24","27,82",60,"1,054",70,
American Pale Ale,10,"20,82","1,061","1,012","6,36","45,81","8,01","28,39",60,"1,042",75,
American IPA,7,"20,82","1,075","1,019","7,29",0,"6,38","27,44",60,"1,053",70,"1,5"
American IPA,7,21,"1,071","1,02","6,78","55,04","11,75","28,5",60,,75,
American IPA,7,"20,82","1,062","1,015","6,26","69,81","6,5","26,5",60,,75,
American IPA,7,"20,82","1,042","1,008","4,38","38,58","6,41","28,39",60,"1,03",75,
American Pale Ale,10,"17,03","1,059","1,016","5,54","37,76","7,07","24,61",60,"1,041",80,
American Pale Ale,10,"18,93","1,049","1,014","4,6","48,66","10,5","22,71",60,,35,
American IPA,7,"19,87","1,069","1,015","7,05","90,86","5,87","11,36",60,"1,082",35,
American IPA,7,"20,82","1,066","1,016","6,47","67,99","14,87","11,36",60,,70,
American IPA,7,"18,93","1,058","1,016","5,47","70,94","10,86","20,82",60,,70,
American IPA,7,"18,93","1,072","1,018","7,07",0,"11,24","9,46",60,,75,
American Pale Ale,10,"18,93","1,053","1,013","5,31","46,7","6,38","9,46",60,,70,
American Pale Ale,10,"19,87","1,057","1,018","5,08","40,08","6,58","31,23",90,"1,036",70,"1,5"
American IPA,7,"20,82","1,063","1,013","6,49","86,33","9,49","27,25",60,"1,048",75,"1,5"
American Pale Ale,10,"22,71","1,054","1,012","5,55","39,96","7,6","29,34",60,"1,042",71,
American IPA,7,"18,93","1,062","1,011","6,71","66,17","7,47","28,39",90,"1,041",70,"1,5"
American IPA,7,40,"1,055","1,011","5,84","67,22","6,06",50,60,"1,044",72,3
American IPA,7,"41,64","1,063","1,01","7,08","49,78","9,01","47,32",60,"1,056",72,
American IPA,7,"20,82","1,061","1,019","5,56",86,"10,98","11,36",60,,65,
American Pale Ale,10,21,"1,055","1,01","5,86","35,56","5,22",19,90,"1,06",79,"3,4"
American IPA,7,"18,93","1,063","1,016","6,2","78,19","10,59","18,93",60,,70,
American IPA,7,"643,52","1,067","1,012","7,23","98,21","6,46","711,66",75,"1,061",88,"1,25"
American Pale Ale,10,"7,57","1,07","1,018","6,91","38,14","16,01","13,25",60,,75,
Saison,134,"22,71","1,051","1,005","6,09","26,05","5,98","32,18",90,"1,036",73,
American Pale Ale,10,"11,36","1,053","1,013","5,31","55,16","6,13","13,25",40,"1,046",80,
American IPA,7,"18,93","1,058","1,017","5,42","58,91","10,13","20,82",60,"1,053",63,
American IPA,7,"18,93","1,07","1,018","6,79","82,14","6,28","13,25",60,,75,
American IPA,7,25,"1,058","1,014","5,79","38,55","5,93",28,60,"1,052",77,3
American IPA,7,"18,93","1,069","1,021","6,34","47,78","5,5","28,39",60,,70,
American IPA,7,"19,68","1,059","1,014","5,88","58,23","5,2","28,39",60,"1,041",70,
American IPA,7,23,"1,063","1,016","6,18","68,93","6,65","32,5",60,,70,
American IPA,7,"18,93","1,066","1,018","6,34","65,01","8,19","24,61",60,"1,051",75,
American IPA,7,11,"1,056","1,012","5,69","45,04","6,79",16,60,"1,038",60,3
American Amber Ale,4,27,"1,052","1,007","5,98","35,4","12,53",40,60,"1,035",64,3
American IPA,7,"16,09","1,07","1,018","6,79","111,94","4,45","23,66",90,"1,047",75,
American IPA,7,"20,82","1,072","1,019","6,95","116,08","40,69","26,5",60,"1,056",75,
American Pale Ale,10,25,"1,052","1,01","5,42","37,02","5,78",29,60,"1,045",72,
American IPA,7,"20,82","15,4102","4,48111","5,94","69,27","6,66","28,39",60,,70,
American IPA,7,"20,82","1,062","1,017","5,88","66,87","7,04","28,39",60,,65,
American IPA,7,"20,82","1,046","1,01","4,61","50,2","7,79","28,39",60,"1,033",70,"1,5"
American IPA,7,"22,71","1,079","1,015","8,46","111,52","8,26","26,5",60,"1,068",72,
American IPA,7,"9,46","1,062","1,016","6,12","65,39","10,12","12,3",60,"1,048",85,
American IPA,7,20,"1,06","1,017","5,64","70,69","14,09",30,60,"1,04",65,
Saison,134,"20,82","1,059","1,012","6,18","24,97","5,01","24,61",70,,75,
Saison,134,"20,82","1,065","1,013","6,82","40,36","12,19","26,5",60,,70,
American IPA,7,"18,93","1,069","1,019","6,52","60,18","11,59","26,12",60,"1,05",65,"1,5"
American IPA,7,"18,93","1,066","1,017","6,43","80,23","7,72","30,28",60,"1,041","60,8",
American IPA,7,"45,42","1,063","1,014","6,55","68,03","6,73",53,60,"1,054",90,"1,25"
American IPA,7,"20,82","1,06","1,016","5,84","77,85","6,41","22,71",60,,60,
American IPA,7,"20,82","1,06","1,015","5,88","59,37","9,74","25,74",60,"1,048",69,"1,5"
American IPA,7,"19,87","1,057","1,015","5,54","82,53","8,12","26,5",60,,75,
American Pale Ale,10,24,"1,049","1,013","4,81","42,43","4,61",28,60,"1,042",72,
American IPA,7,"18,93","1,07","1,013","7,44","66,16","6,56","26,5",60,"1,05",70,"1,3"
American Amber Ale,4,"41,64","1,069","1,016","6,97","101,09","13,07","60,57",90,,70,
American Pale Ale,10,5,"1,054","1,015","5,33","43,1","9,09",8,60,"1,034",70,
Saison,134,"22,71","1,086","1,021","8,43","19,95","11,51","28,39",60,,70,
American IPA,7,"20,82","1,064","1,014","6,56","55,41","8,02","24,61",60,"1,054",65,"1,5"
American IPA,7,20,"1,066","1,016","6,46","70,37","8,25","28,5",60,,80,
American Amber Ale,4,"41,64","1,046","1,008","4,91","45,02","11,11","47,32",60,"1,04",72,"1,5"
American IPA,7,"24,61","1,066","1,02","6,1","48,95","6,44","32,18",90,"1,051",75,"1,5"
Saison,134,"22,71","1,053","1,009","5,73","33,81","4,63","26,5",60,"1,045",70,
American Pale Ale,10,"19,87","1,057","1,014","5,56","39,28","7,81","26,5",90,"1,042",72,"1,25"
American Pale Ale,10,25,"1,06","1,017","5,69","12,96","9,27",7,70,"1,215",56,3
American IPA,7,"20,82","1,064","1,014","6,54","69,39","6,04","26,5",75,"1,05",70,"1,25"
American Amber Ale,4,"20,82","1,056","1,016","5,27","47,22","18,03","26,5",60,,70,
American IPA,7,"20,82","1,054","1,013","5,28","74,67","13,29","28,39",60,"1,039",70,"1,5"
Saison,134,"30,28","1,056","1,006","6,66","22,43","9,97","37,85",60,"1,045",70,
American IPA,7,"9,46","1,082","1,02","8,05","56,58","5,58","11,36",60,"1,068",48,"1,5"
American Pale Ale,10,"18,93","1,058","1,015","5,61","47,99","4,3","22,71",60,"1,048",60,"1,25"
Saison,134,5,"1,05","1,009","5,42","23,92","5,62",8,60,"1,031",70,3
Saison,134,"20,82","1,061","1,013","6,23","30,98","3,84","26,5",60,"1,048",70,"1,5"
American IPA,7,"24,61","1,091","1,015","10,01","129,85","7,89","26,5",90,"1,084",75,
American IPA,7,"18,93","1,066","1,015","6,73","110,6","7,04","22,71",60,"1,055",75,
American Pale Ale,10,"20,82","1,05","1,012","4,9","29,72","3,37","24,61",60,,74,
American Pale Ale,10,"20,82","1,055","1,014","5,43","22,5","9,11","26,5",60,,66,
American IPA,7,25,"1,06","1,016","5,69","49,28","16,65",24,60,"1,062",75,
American Pale Ale,10,23,"1,06","1,014","6,09","38,22","5,5","28,5",60,"1,048",70,"2,5"
American IPA,7,21,"1,063","1,015","6,31","60,94","6,5",25,70,"1,053",73,
American IPA,7,"20,82","1,071","1,017","7,09","101,27","6,1","13,25",60,"1,111",70,
American Pale Ale,10,24,"1,048","1,012","4,82","49,63","5,74",28,60,"1,041",70,
American Amber Ale,4,"18,93","1,053","1,015",5,"64,13","13,69","24,61",60,,70,
American Amber Ale,4,20,"1,064","1,018",6,"35,03","13,25",18,60,"1,071",75,
American Pale Ale,10,23,"1,052","1,013","5,14","36,89","8,02",25,60,"1,048",76,4
Saison,134,22,"1,055","1,003","6,87","31,14","7,83",32,60,"1,038",63,
American IPA,7,"20,82","1,006","1,002","0,62","106,6",40,"26,5",90,,70,
American IPA,7,"20,82","1,058","1,01","6,34","65,38","10,38","28,39",60,"1,043",72,"1,5"
American IPA,7,"20,82","1,066","1,016","6,47","61,32","8,65","28,39",60,"1,048",75,"1,25"
American Pale Ale,10,20,"14,0295","2,64942","6,12","31,99","4,68",25,60,"11,3",60,"3,5"
American Pale Ale,10,"3,79","1,051","1,017","4,43","55,59","10,66","8,71",90,,65,
American Pale Ale,10,"20,82","1,047","1,01","4,93","28,17","8,91","28,39",90,"1,035",75,"1,5"
American IPA,7,53,"1,058","1,01","6,29","57,79","4,3",64,70,"1,045",70,"3,1"
American IPA,7,"18,93","1,109","1,026","10,96","767,47",40,"26,5",90,,75,
American IPA,7,"3,79","1,061","1,01","6,63","50,28","6,61","7,57",60,"1,03",70,"1,5"
American Pale Ale,10,"147,63","1,059","1,011","6,3","35,58","6,57","158,99",60,,78,
American IPA,7,"20,82","1,081","1,02","8,08","172,09","5,19","28,39",60,"1,06",70,"1,5"
American IPA,7,20,"1,065","1,013","6,85","71,86","6,89",24,90,"1,054",74,
American IPA,7,"19,68","1,065","1,019","6,03","70,66","7,98","27,25",60,,75,
American IPA,7,"904,71","1,056","1,01","5,95","0,62","6,08","1059,92",60,"1,048",70,"1,33"
American Amber Ale,4,24,"1,051","1,012","5,19","30,05","16,02",32,90,"1,039",70,4
American IPA,7,"20,82","1,062","1,012","6,53","38,5","4,24","24,61",60,"1,007",35,
American Pale Ale,10,20,"1,061","1,015","6,04","48,56","8,23",26,90,"1,047",80,
American Pale Ale,10,"15,14","1,047","1,008","5,09","40,12","3,28","18,93",60,"1,037",72,
American IPA,7,"18,93","1,073","1,013","7,9","71,14","8,19","26,5",60,"1,052",65,
American Amber Ale,4,"5,68","1,059","1,014","5,87","32,57","14,43","9,46",60,"1,035",80,
American IPA,7,21,"1,065","1,012","7,03","64,6","5,45",25,60,"1,052",70,
American IPA,7,21,"1,063","1,014","6,46","59,19","5,36",25,70,"1,053",73,
American Light Lager,9,"26,5","1,033","1,008","3,32","5,55","2,34","30,28",15,"1,029",84,"1,5"
Saison,134,"20,82","1,068","1,018","6,59","33,84","4,12","18,93",60,,70,
American IPA,7,"47,32","1,051","1,014","4,86","62,03","3,77","51,86",90,"1,046",67,"1,3"
American IPA,7,20,"1,067","1,016","6,72","46,09","12,75","28,5",90,"1,047",66,
American IPA,7,"18,93","1,061","1,02","5,41","77,93","5,44","28,39",60,"1,041",75,
American Pale Ale,10,"20,82","1,057","1,018","5,19","56,49","3,9","28,39",60,"1,042",70,"1,5"
American Pale Ale,10,21,"1,05","1,011","5,08","50,38","5,4",25,70,"1,042",73,
American IPA,7,"18,93","1,067","1,014","6,94","99,37","6,86","11,36",60,"1,069",45,
American IPA,7,"18,93","1,079","1,027","6,92","66,7","7,03","22,71",60,"1,066",77,"1,5"
American Amber Ale,4,20,"1,045","1,009","4,78","49,2","13,96",30,60,"1,03",70,"3,1"
American IPA,7,"20,82","1,071","1,018","7,03","90,04","9,07","11,36",60,,35,
American IPA,7,18,"1,068","1,019","6,46","55,92","4,65",8,60,,70,
American Pale Ale,10,50,"1,053","1,011","5,4","36,92","5,94",60,60,"1,044",72,
American IPA,7,20,"1,084","1,019","8,57","42,29","11,22","23,3",60,"1,072",80,
American IPA,7,"22,71","1,072","1,013","7,76","140,13","5,47","32,18",90,"1,045",80,"1,5"
American IPA,7,20,"1,049","1,013","4,75","87,11","3,74","28,5",90,"1,034",75,
American Pale Ale,10,"9,46","1,059","1,014","5,87","24,95","12,11","4,73",15,,75,
Saison,134,"20,82","1,042","1,007","4,53","34,63","2,94","28,39",60,"1,031",70,
American IPA,7,2200,"14,3395","2,83333","6,2","49,13","6,49",2200,60,"14,3",85,
American IPA,7,"18,2","1,061","1,015","5,96","54,07","10,44",25,60,"1,044",80,
American IPA,7,"20,82","1,057","1,013","5,65","40,78","4,78","24,61",60,"1,048",84,
American Amber Ale,4,23,"1,061","1,015","6,25","50,9","23,26","28,5",60,"1,049",65,3
American IPA,7,"18,93","1,057","1,012","5,91","58,56","8,06","11,36",45,"1,095",35,
American IPA,7,"20,82","1,074","1,018","7,43",0,"11,7","28,2",60,,68,
American IPA,7,"20,82","1,05","1,01","5,31","43,53","7,35","25,55",60,"1,041",75,"1,5"
American IPA,7,"11,36","1,056","1,011","5,88","56,87","8,02","13,25",40,"1,048",80,
American IPA,7,"20,82","1,061","1,011","6,61","54,34","13,59","29,53",70,"1,043",75,
American Pale Ale,10,"18,93","1,064","1,015","6,42","47,16","7,92","23,28",60,"1,052",67,"1,25"
American Amber Ale,4,21,"1,057","1,011","6,06","30,41","7,01",11,60,"1,109",35,
American Amber Ale,4,25,"1,057","1,013","5,78","37,13","12,95",29,90,"1,049",76,
Saison,134,20,"1,062","1,011","6,69","25,71","5,25","23,9",90,"1,052",78,3
Saison,134,"37,85","1,064","1,016","6,27","31,39","7,75","22,71",60,"1,106",35,
